Lane1_T1,Lane1_T2,Lane1_T3,Lane1_T4,Lane1_T5,Lane2_T1,Lane2_T2,Lane2_T3,Lane2_T4,Lane2_T5,Lane3_T1,Lane3_T2,Lane3_T3,Lane3_T4,Lane3_T5,Lane4_T1,Lane4_T2,Lane4_T3,Lane4_T4,Lane4_T5,Lane5_T1,Lane5_T2,Lane5_T3,Lane5_T4,Lane5_T5,Target_Traffic_Flow
72,2,61,49,90,43,70,27,24,14,25,65,44,53,68,15,54,38,84,56,87,24,13,19,42,1
92,83,92,31,47,31,85,16,14,23,60,70,88,36,34,67,98,28,40,4,19,24,0,77,63,2
98,4,40,87,11,82,4,70,83,14,64,36,83,80,52,82,4,10,32,50,7,76,36,79,41,4
8,26,81,15,49,77,12,27,41,97,88,24,7,49,93,56,85,16,16,4,37,27,33,12,73,1
16,15,20,2,32,62,72,21,53,62,11,73,32,2,45,71,84,61,88,6,62,80,98,64,87,0
13,4,20,23,11,91,98,7,60,9,25,50,98,57,73,20,6,48,0,62,87,58,69,81,71,1
35,47,0,10,75,5,3,42,44,32,41,32,45,75,27,34,12,54,98,12,78,22,95,29,80,1
45,11,18,83,87,25,1,94,74,40,61,40,73,46,39,73,72,92,99,64,53,11,90,97,83,1
36,58,44,24,96,76,64,92,36,29,14,69,68,93,95,72,24,59,8,28,0,30,32,73,30,4
22,44,52,52,37,43,3,30,47,61,86,88,77,80,52,46,44,20,76,45,65,18,79,93,2,3
89,10,82,18,52,76,17,33,93,37,16,55,89,81,4,9,40,94,56,33,23,98,82,87,12,4
22,60,44,5,84,41,23,45,40,79,93,76,78,83,68,63,39,18,80,55,84,4,99,94,99,0
74,84,57,47,14,46,29,12,4,31,8,28,87,10,60,36,8,7,87,15,29,32,19,47,84,4
72,53,66,4,13,65,22,59,20,74,42,22,58,87,14,50,84,96,80,54,30,61,71,82,42,4
29,30,18,14,79,8,92,84,61,47,76,70,56,16,5,76,18,15,45,51,25,53,79,74,74,4
27,44,9,16,46,9,74,4,9,82,74,88,34,52,64,77,34,15,61,59,84,43,74,61,62,2
83,49,2,47,40,19,96,4,73,67,65,79,66,67,61,72,85,13,75,13,5,39,73,90,52,3
20,4,42,4,38,84,48,88,11,60,84,43,21,87,73,19,16,0,30,73,81,30,94,26,83,4
81,78,15,78,27,16,29,97,38,82,3,96,5,43,6,45,64,87,71,72,92,73,11,53,85,2
55,74,32,29,86,51,28,51,66,32,13,46,54,19,65,60,0,24,23,81,4,35,22,72,91,1
87,39,17,20,36,4,96,31,35,99,8,58,71,30,31,72,47,51,14,40,62,76,33,92,58,1
8,39,23,60,26,66,79,62,68,37,37,86,87,21,58,13,43,66,37,42,26,22,79,46,64,1
57,65,49,61,74,5,1,48,18,69,12,39,80,76,39,14,98,94,58,57,7,92,79,8,50,1
85,33,31,3,91,68,63,69,52,86,39,9,47,63,99,5,18,61,89,51,88,18,88,95,25,2
17,79,35,3,24,66,88,79,57,54,74,28,49,87,10,16,38,76,90,8,70,5,0,8,81,2
24,25,4,6,44,67,90,27,0,4,83,45,11,75,62,89,74,33,52,69,87,40,46,46,94,0
44,8,6,23,48,46,29,37,91,48,27,55,78,26,79,79,23,58,24,92,82,23,70,43,70,3
49,49,70,53,65,49,91,88,12,16,42,18,86,18,62,74,8,88,95,83,46,12,14,52,43,0
3,66,23,27,58,69,10,28,69,76,48,52,32,3,68,88,24,52,6,73,99,60,69,87,22,0
18,19,78,80,21,60,22,24,9,95,45,29,31,73,10,76,76,62,66,27,40,83,28,43,15,2
57,38,94,89,17,30,6,47,55,16,28,82,50,59,69,69,65,77,95,66,83,72,27,96,26,1
27,68,75,83,61,89,45,14,12,85,18,36,79,33,75,37,64,92,80,82,59,54,62,21,31,3
55,45,53,82,35,89,53,29,16,96,54,66,69,5,57,5,32,82,90,79,51,82,27,55,2,2
47,26,22,97,3,18,38,33,67,58,5,49,49,89,1,13,18,4,55,40,97,72,14,34,64,2
10,85,69,76,90,42,77,70,41,38,96,88,69,53,24,69,66,90,28,4,52,97,9,88,88,4
33,55,37,79,82,82,95,74,71,85,7,48,0,59,10,20,84,58,14,70,61,24,0,90,66,3
14,66,81,55,95,8,65,38,86,79,35,32,75,54,45,14,67,27,13,67,21,57,72,84,43,1
66,80,80,49,31,52,52,17,50,80,29,41,25,17,30,33,61,45,55,4,68,35,46,34,62,0
99,40,59,7,82,69,3,98,33,10,71,76,84,48,33,29,88,6,66,0,81,71,99,0,32,3
28,88,83,0,3,52,68,60,93,56,30,18,60,65,88,14,27,63,49,44,30,27,85,64,29,1
60,75,90,12,66,94,37,41,25,24,84,71,90,45,77,15,76,73,85,89,14,75,79,45,88,0
26,97,93,11,4,6,95,58,16,64,93,54,29,21,46,76,57,5,93,28,56,69,9,54,41,2
11,52,57,48,78,86,37,48,20,81,16,58,17,94,78,47,32,34,87,0,70,7,53,70,82,3
78,59,89,12,79,64,74,78,60,35,21,89,66,22,94,63,72,77,68,5,61,53,27,93,18,1
70,36,58,58,50,84,55,82,6,5,14,13,8,67,46,93,81,72,52,48,80,7,31,1,81,3
91,56,65,84,66,2,38,87,35,49,67,13,85,95,22,12,35,31,19,34,99,53,89,46,86,4
28,55,51,12,4,31,62,47,28,31,57,36,31,39,22,38,93,69,43,5,92,13,38,34,55,2
18,92,26,79,51,51,60,7,99,61,71,33,67,79,76,88,14,66,76,26,69,28,61,96,9,3
33,96,23,99,53,14,1,77,57,57,78,51,1,3,67,47,16,24,33,10,95,37,44,52,68,3
49,25,65,98,72,4,71,78,47,35,50,80,47,58,5,51,7,71,3,59,83,13,90,63,44,1
57,30,31,37,91,47,11,66,83,65,61,70,23,3,7,57,32,83,44,59,96,44,4,45,90,1
98,99,13,68,13,27,94,44,4,12,9,48,53,97,66,88,69,54,56,78,23,52,60,69,54,4
78,96,86,3,87,82,99,81,46,36,61,9,84,81,31,36,29,83,13,39,10,95,94,45,8,3
97,72,13,76,83,95,90,12,89,51,97,63,65,89,81,16,83,77,86,54,5,16,13,51,1,3
44,99,40,49,61,30,13,92,30,6,25,13,93,35,49,31,13,66,12,25,30,61,22,45,10,1
56,40,79,86,45,89,63,65,99,93,53,62,87,63,35,74,8,60,98,58,74,21,81,93,10,3
32,74,87,8,20,52,65,64,48,1,3,39,3,84,23,24,31,82,71,5,0,41,0,93,31,4
70,37,20,97,26,16,16,18,65,46,31,80,77,93,35,44,20,34,84,96,69,88,0,14,84,3
81,2,84,61,13,34,62,56,62,5,22,83,38,13,53,54,75,38,30,66,43,95,84,12,29,1
91,36,38,35,68,15,65,27,48,36,17,22,57,71,87,1,21,78,22,11,60,47,47,84,3,3
27,32,71,63,86,70,20,11,93,3,26,6,99,7,86,70,33,91,16,5,76,71,60,92,95,1
45,32,25,32,10,9,12,66,14,62,39,69,53,26,91,24,44,72,44,16,20,24,39,24,49,2
26,67,2,53,46,75,41,75,25,88,52,65,42,72,22,38,86,59,33,11,19,64,84,45,96,4
77,8,15,39,16,17,83,17,33,64,2,91,29,52,33,79,1,76,25,49,33,73,82,38,1,2
48,14,1,95,48,61,35,62,14,15,37,94,15,7,65,11,80,8,28,75,99,41,0,81,82,2
89,64,48,78,99,75,20,14,65,34,79,0,11,28,17,5,11,79,47,17,9,18,3,54,64,1
47,95,41,98,91,61,11,45,43,83,72,71,89,78,30,96,86,34,98,49,3,31,88,66,15,3
74,49,25,28,12,47,79,56,97,74,46,75,30,61,36,50,82,60,65,56,48,45,54,92,70,3
71,21,7,89,59,91,6,80,44,86,43,67,81,43,39,49,75,91,62,42,30,76,59,88,21,4
81,85,6,82,95,17,24,78,60,72,27,95,26,75,84,6,69,27,3,38,63,23,87,5,79,4
96,94,27,89,75,85,98,14,73,40,70,25,43,82,8,60,43,76,9,43,32,57,52,80,99,3
35,56,76,1,57,26,84,51,55,44,44,60,88,66,82,23,8,20,42,98,62,60,93,8,1,4
36,53,68,4,76,58,26,20,38,28,70,46,53,22,66,85,2,8,51,61,65,71,5,97,76,0
43,89,64,42,59,67,72,58,34,5,77,8,79,69,43,77,70,43,27,96,94,61,24,34,30,1
73,36,41,75,47,96,18,62,75,8,33,68,93,81,43,79,87,63,82,38,40,23,73,45,34,1
29,30,44,53,29,10,86,42,5,59,35,88,64,98,58,72,89,68,62,85,88,14,75,31,31,1
11,6,81,21,42,71,89,52,72,30,15,66,23,83,74,56,77,44,85,44,28,33,11,95,83,4
99,66,69,53,33,92,62,66,38,78,35,84,21,71,13,40,25,12,31,80,9,63,74,72,58,3
45,15,39,57,36,21,57,5,61,42,63,30,0,86,11,97,17,74,11,8,98,17,36,14,90,3
46,88,59,17,74,14,52,20,77,25,53,19,72,92,79,90,92,38,34,95,21,23,99,45,90,3
63,51,37,22,99,42,96,49,76,92,41,43,36,97,16,76,20,40,20,49,83,3,35,18,61,2
80,10,8,53,91,69,5,40,26,79,50,51,59,36,29,66,30,72,35,90,91,53,81,15,87,1
95,36,2,40,50,73,82,93,77,52,43,95,70,9,50,64,66,30,32,15,52,61,69,29,22,3
44,8,21,4,69,39,96,29,22,14,73,2,46,84,85,92,10,33,67,80,32,62,99,95,55,1
81,21,22,0,95,48,69,45,57,1,75,42,18,51,27,16,71,7,74,38,91,47,98,46,75,3
81,95,71,81,84,3,17,73,7,85,18,3,14,9,40,85,49,27,90,0,15,26,54,80,13,0
43,21,68,38,45,56,23,11,19,96,72,87,11,51,35,10,16,2,29,46,89,60,69,53,92,0
58,13,56,37,0,65,59,25,4,66,84,54,73,9,76,69,67,33,68,88,80,63,21,12,82,0
39,29,64,1,57,53,83,5,65,71,96,46,1,64,62,36,5,50,81,32,41,44,43,22,24,1
40,1,13,76,41,29,79,6,46,12,75,1,59,41,85,11,30,73,73,17,39,39,19,17,2,4
51,33,72,25,43,43,42,84,53,60,3,12,88,69,14,44,39,27,88,48,67,50,14,61,84,0
9,36,36,74,45,2,66,34,82,24,18,71,61,80,43,97,16,54,90,31,89,99,66,80,1,0
59,40,60,74,86,10,97,77,84,46,80,4,3,60,64,5,12,57,16,56,65,28,25,94,82,1
95,68,20,30,15,22,14,74,29,76,61,35,92,28,22,61,68,80,36,72,24,1,25,61,97,4
22,41,38,80,15,64,61,11,2,76,91,32,32,92,54,64,51,18,30,62,88,60,36,34,13,3
8,36,28,73,23,80,47,81,72,84,99,78,68,82,45,85,14,5,23,1,29,24,29,72,32,1
32,46,0,71,73,77,81,49,90,34,61,0,60,39,28,47,36,35,33,77,11,82,90,37,4,3
35,66,1,49,17,77,18,56,3,87,48,86,73,23,90,32,55,17,23,85,42,66,56,23,75,3
84,86,51,98,34,53,0,8,3,17,8,51,79,1,49,4,99,0,53,92,46,21,86,42,43,3
57,95,57,28,2,93,43,94,87,27,11,5,97,75,3,97,42,82,61,37,63,3,61,30,59,1
22,49,97,20,41,18,85,48,14,87,52,34,66,86,43,24,59,34,85,72,41,18,10,13,50,0
31,71,38,99,26,38,85,15,15,68,45,33,43,37,5,97,27,40,31,51,49,97,55,61,83,2
51,28,9,35,15,93,72,98,1,20,64,9,84,25,5,95,23,59,85,8,85,42,21,51,13,2
49,86,4,97,81,53,16,61,94,28,49,38,96,65,4,54,56,84,63,83,73,81,58,46,74,3
81,94,49,3,40,18,35,89,27,67,88,50,46,58,19,36,99,98,68,57,88,70,72,40,63,2
11,35,9,22,50,95,59,69,84,72,97,68,67,25,24,89,23,9,52,71,70,38,89,83,10,2
64,57,75,83,95,9,4,51,28,24,0,36,22,42,40,93,0,21,26,77,43,17,51,44,8,2
12,41,27,11,5,9,42,72,98,14,65,93,42,74,94,87,44,51,75,78,43,24,29,82,74,2
0,75,93,6,25,13,59,32,95,80,47,73,29,96,71,91,50,15,79,43,21,21,26,92,41,3
27,90,7,62,32,11,0,66,22,14,47,92,87,84,48,31,94,30,70,88,31,71,82,96,52,4
7,90,7,57,35,83,10,78,13,26,75,11,29,14,51,89,68,85,99,39,32,22,19,62,92,4
53,7,30,47,86,18,5,5,74,87,12,88,84,83,1,17,45,8,53,5,84,94,96,61,57,3
43,46,80,51,77,93,15,14,18,14,28,44,30,18,19,64,4,89,18,61,46,53,68,87,74,0
44,37,23,58,59,80,14,1,37,17,36,84,25,80,15,44,71,10,90,29,43,21,4,0,16,0
85,76,15,31,62,58,19,40,12,72,29,55,46,37,64,77,57,54,24,33,0,55,77,85,57,3
15,49,36,94,59,50,21,3,29,82,70,34,66,97,40,31,32,92,22,30,55,15,46,79,21,4
76,24,22,82,87,29,5,55,58,98,70,96,35,36,99,29,22,11,74,42,26,19,38,8,11,2
82,96,6,16,90,98,80,6,45,18,54,33,15,98,98,5,61,35,37,38,89,93,84,55,71,0
43,50,86,63,4,45,24,4,9,14,5,38,71,62,52,98,93,34,93,38,16,22,69,79,64,2
18,3,6,71,28,32,63,24,27,66,28,57,64,18,95,50,47,55,46,6,9,48,24,12,84,2
15,20,72,99,66,52,63,97,53,97,56,72,55,96,75,33,34,45,69,41,4,59,7,86,96,1
82,23,4,19,86,77,27,16,88,95,35,32,63,32,18,80,93,88,93,63,31,97,30,16,61,4
61,75,8,47,67,22,55,31,82,90,61,50,72,46,81,41,48,24,24,60,13,60,36,50,98,2
17,92,62,44,78,55,45,67,17,93,74,34,9,42,93,92,60,20,75,36,55,23,55,29,90,3
93,44,17,23,37,14,40,37,39,52,41,11,13,93,49,36,36,11,62,83,17,51,91,87,70,1
73,53,99,57,54,29,71,98,18,30,58,11,99,19,94,45,55,7,16,48,67,9,9,42,13,1
10,1,6,75,29,51,67,70,79,13,34,85,3,95,80,93,55,95,90,87,17,46,9,98,6,2
49,94,68,80,38,96,56,89,6,8,78,85,49,83,91,1,70,22,53,22,99,21,98,68,59,3
98,57,56,42,79,38,96,11,15,81,91,27,27,98,17,62,91,91,52,25,31,52,28,97,34,2
90,88,4,79,26,11,10,97,88,10,94,81,35,50,16,51,93,99,26,7,44,49,83,99,56,3
81,89,77,54,39,40,67,90,45,52,85,81,18,36,56,36,13,81,94,97,56,12,80,96,21,3
78,25,5,89,8,80,89,95,39,94,35,2,91,51,24,3,89,23,43,65,37,84,5,40,10,2
73,68,85,42,43,87,92,38,22,40,52,69,20,48,14,96,22,12,99,13,59,3,75,60,49,2
59,72,28,81,37,99,10,73,47,48,95,70,77,22,60,24,59,38,2,32,70,59,11,47,43,2
51,32,34,9,51,97,60,65,51,95,15,58,75,76,12,48,16,38,38,95,66,61,98,42,58,0
12,49,30,40,89,5,41,74,61,96,80,25,40,57,30,93,60,76,54,49,53,3,60,38,11,4
59,73,81,96,16,19,66,11,45,96,3,46,64,15,18,50,14,58,58,74,87,65,16,92,5,1
82,30,99,71,0,73,40,65,12,94,25,96,5,86,98,80,91,72,92,10,27,54,82,8,94,4
70,48,16,16,26,46,41,99,30,18,85,26,32,24,73,83,32,53,16,46,33,40,99,68,61,1
76,64,39,13,71,78,32,85,21,13,64,18,98,76,9,5,66,4,84,30,16,47,95,49,50,4
48,57,39,49,30,9,39,47,11,68,70,19,57,67,58,6,53,13,2,93,32,35,93,69,92,0
42,67,1,57,45,86,2,69,51,57,49,31,55,9,95,34,17,43,37,17,18,28,92,14,6,2
27,43,38,88,9,17,92,99,98,24,88,6,99,70,40,39,63,39,99,17,21,61,67,59,48,1
81,40,70,1,61,3,89,52,58,2,92,23,66,47,67,45,24,9,35,27,68,75,49,48,11,2
97,23,13,12,84,11,9,24,52,11,16,64,48,53,58,31,92,75,54,77,54,1,91,74,36,0
15,75,11,29,20,88,6,72,85,46,30,30,86,88,69,80,88,6,65,93,51,83,58,17,44,2
36,14,38,45,1,62,83,7,94,55,83,74,89,22,92,62,55,52,33,76,24,8,89,14,70,2
27,18,13,20,64,79,28,73,79,99,69,55,20,20,67,35,17,7,83,47,78,39,67,20,0,3
97,28,93,68,75,42,69,91,28,63,38,48,36,33,74,80,86,11,74,58,64,11,53,37,82,1
87,87,47,2,16,36,58,67,31,83,89,11,66,94,51,52,80,95,31,65,57,63,84,75,15,0
58,96,32,15,54,68,73,24,2,17,13,80,28,49,91,8,63,39,64,38,45,46,28,50,83,4
76,61,2,7,94,69,25,92,8,18,66,38,24,90,66,58,95,57,22,76,26,16,16,29,79,1
18,98,80,96,29,20,41,29,5,82,21,95,7,78,19,12,30,6,84,51,68,12,72,73,23,0
11,97,28,97,3,80,86,82,63,82,70,96,68,31,75,99,86,69,42,38,76,41,70,23,14,0
73,22,54,32,45,88,1,17,69,22,40,0,10,48,83,78,95,80,75,57,49,7,67,46,45,4
95,20,69,91,48,92,47,86,6,21,94,64,43,56,71,33,88,29,55,10,43,39,8,75,25,1
38,17,95,11,17,3,34,9,3,64,25,72,66,54,72,21,48,71,16,13,67,74,76,50,21,2
85,49,91,71,0,9,95,10,97,76,92,4,26,85,81,1,22,33,51,29,77,46,54,53,12,1
59,56,16,80,8,86,57,0,67,70,44,86,40,79,69,19,45,46,63,2,37,57,26,41,78,4
53,11,38,44,37,32,59,61,28,21,26,31,44,90,65,46,55,26,72,7,98,10,62,88,46,1
14,60,41,2,21,75,77,10,14,30,24,16,55,50,68,94,6,45,90,5,39,39,64,94,73,3
70,20,52,79,75,27,55,51,16,71,41,91,95,96,59,89,97,18,80,77,5,20,14,9,25,4
9,7,25,85,44,28,1,4,7,11,88,30,65,11,1,98,21,66,78,21,24,1,62,12,57,4
70,68,64,56,11,86,71,34,41,26,23,0,28,67,54,0,62,27,68,89,92,94,94,58,89,4
92,73,77,37,54,61,21,87,18,64,91,0,66,20,3,28,81,21,5,38,93,23,87,89,67,3
95,98,53,75,23,38,65,39,14,70,49,23,69,61,69,89,67,62,50,16,73,85,65,34,71,3
69,54,85,18,37,39,47,50,47,45,25,97,22,83,56,30,30,88,39,86,66,89,89,13,54,4
83,11,42,10,77,24,58,24,1,10,53,72,64,64,65,83,53,59,75,72,47,79,83,62,45,3
68,6,52,82,36,37,37,5,30,41,92,88,80,69,12,68,91,99,21,38,72,83,55,70,69,1
26,13,63,16,6,71,19,63,87,15,43,3,52,4,64,11,61,8,47,60,23,0,80,29,60,3
42,20,47,59,27,90,22,2,33,72,1,52,37,78,24,68,20,30,45,61,3,16,26,4,10,2
56,22,5,32,94,44,15,37,69,60,1,11,74,85,74,15,42,56,55,40,79,33,49,79,33,4
78,63,5,0,12,98,32,63,71,32,46,8,15,78,14,83,19,25,21,9,39,69,38,29,49,4
0,54,51,66,16,3,46,81,88,79,6,5,74,48,94,61,50,28,45,39,7,63,9,67,30,2
45,44,91,65,99,53,3,80,61,7,16,13,87,53,29,87,11,55,60,88,40,83,96,93,22,1
84,52,29,44,93,64,63,33,88,4,19,87,28,63,52,42,19,41,53,0,67,73,90,9,14,3
2,48,42,15,83,25,27,92,26,49,79,86,16,91,35,60,88,87,74,76,45,35,11,22,54,2
47,11,38,18,34,6,55,77,40,32,65,80,58,72,37,29,94,77,53,58,30,33,71,79,70,1
77,63,25,5,14,28,13,59,69,74,45,96,62,5,45,67,83,16,60,83,69,34,67,68,58,4
49,32,5,74,1,15,45,96,75,99,87,62,15,74,35,65,18,76,53,98,18,52,43,5,87,3
24,79,69,58,24,43,27,86,86,35,83,66,5,73,4,16,31,39,32,62,80,87,27,97,48,2
42,11,44,70,17,79,78,62,61,28,22,29,67,69,96,21,44,21,33,54,60,8,90,97,6,2
65,39,18,35,27,6,37,79,33,74,84,65,57,35,13,11,54,95,74,74,26,77,24,12,14,2
90,25,98,62,31,19,69,94,95,32,5,70,10,41,63,84,72,2,71,84,95,38,24,65,4,0
83,91,11,50,73,81,0,54,16,68,39,46,99,63,34,65,82,91,39,72,91,33,66,22,26,2
47,22,80,79,7,40,8,92,85,27,91,89,71,83,80,34,3,91,56,42,89,50,49,88,67,4
18,42,24,94,85,73,86,32,99,62,86,61,47,15,74,8,4,22,48,1,53,62,73,98,83,3
36,30,18,57,46,76,55,55,26,74,85,66,30,74,57,94,7,84,66,52,23,15,72,91,14,1
13,44,92,93,60,96,99,90,79,1,84,65,47,96,33,24,8,56,47,66,81,4,87,38,16,2
0,57,29,33,12,7,14,4,20,91,81,89,33,90,58,52,30,5,84,19,15,74,56,54,67,2
2,39,79,1,20,80,71,97,75,50,39,3,94,6,1,37,2,19,32,81,54,45,77,87,61,2
43,37,81,41,56,88,93,99,97,36,74,14,71,25,17,88,60,9,44,94,18,37,70,84,20,3
77,74,20,71,51,15,37,78,38,95,28,97,84,58,57,93,0,99,19,27,91,81,79,47,40,0
68,94,47,57,47,81,94,87,66,92,69,3,26,83,71,76,50,29,56,27,37,15,55,17,13,4
35,93,62,66,98,99,52,14,1,70,29,40,63,98,89,48,2,84,44,69,12,29,67,63,58,0
67,56,30,21,66,36,65,13,55,78,26,46,64,44,48,14,27,70,69,1,81,71,60,45,7,3
97,13,43,2,22,25,75,66,74,10,57,12,94,41,50,25,0,43,72,41,65,15,41,38,19,0
35,89,63,6,31,24,25,86,19,75,58,15,90,57,31,51,20,57,94,71,95,8,70,12,52,1
9,27,10,55,64,4,30,48,31,39,8,44,92,15,32,85,90,41,80,91,80,27,8,57,84,1
27,17,26,38,12,18,20,23,62,64,9,49,59,97,80,22,73,72,68,48,30,96,15,73,99,1
50,64,35,0,31,55,29,59,96,4,99,19,4,82,12,90,39,40,98,33,8,41,35,35,32,1
30,25,4,25,80,63,4,34,45,77,92,20,87,18,63,3,75,30,23,55,11,84,31,44,31,2
50,8,18,50,42,18,13,80,20,34,57,62,39,12,9,32,35,54,72,26,94,37,24,46,40,0
67,16,25,72,11,82,25,1,81,19,44,30,76,94,21,37,3,37,70,94,85,93,74,31,16,4
30,94,78,46,13,47,32,80,1,16,23,97,78,58,42,74,98,73,56,46,82,22,66,86,77,3
26,18,12,15,2,7,85,82,15,39,75,45,77,77,96,43,88,73,86,94,2,51,83,12,34,3
80,5,86,1,27,25,26,3,77,95,64,32,13,49,9,63,9,11,77,35,14,22,27,37,75,0
99,12,61,38,0,98,65,7,84,64,20,21,26,12,95,6,75,23,28,30,45,64,6,44,39,3
8,55,43,73,94,75,8,53,52,78,94,10,4,54,89,73,95,55,45,57,9,44,32,55,53,4
73,47,58,70,52,45,79,97,15,29,29,58,39,4,94,32,6,34,38,1,49,16,92,25,67,3
